0.175161, 0.00733728, 0.00131562 
0.17547, 0.00806572, 0.00132243 
0.175153, 0.00545031, 0.00123993 
0.175291, 0.00587124, 0.00117147 
0.175145, 0.0054399, 0.0012718 
0.175406, 0.00578118, 0.00124651 
0.175144, 0.00549273, 0.00123523 
0.175252, 0.0058261, 0.00126783 
0.175221, 0.00535781, 0.00127415 
0.175197, 0.00557918, 0.00120845 
0.175762, 0.00552308, 0.00118624 
0.175196, 0.00541947, 0.001204 
0.175313, 0.0053288, 0.00127192 
0.175129, 0.0053365, 0.00125741 
0.176335, 0.00580903, 0.00119015 
0.1752, 0.00536619, 0.00115371 
0.175174, 0.00531157, 0.00121296 
0.175317, 0.00531063, 0.00123517 
0.175367, 0.00551262, 0.00121044 
0.175237, 0.00641429, 0.00120871 
