0.580945,0.026364,0.026463,0.088553,0.249689,0.023367,0.022371
0.596935,0.025924,0.023900,0.257599,0.209253,0.077324,0.053656
0.598071,0.026940,0.024730,0.258467,0.358973,0.077243,0.055484
0.576173,0.026751,0.028097,0.088489,0.244810,0.023366,0.021974
0.577587,0.025906,0.023861,0.257672,0.205039,0.077309,0.028583
0.609466,0.026778,0.025872,0.258502,0.308945,0.077284,0.028475
0.580687,0.028187,0.028621,0.088590,0.245502,0.023369,0.022155
0.573424,0.026987,0.025840,0.257478,0.209467,0.077397,0.046146
0.595610,0.031321,0.024184,0.258512,0.254175,0.077310,0.079938
0.578330,0.026666,0.026453,0.088582,0.249737,0.023363,0.021250
0.587226,0.025464,0.023846,0.257478,0.207016,0.077322,0.027896
0.589062,0.027017,0.026339,0.258669,0.252529,0.077220,0.076015
0.599686,0.026970,0.026636,0.088711,0.248053,0.023372,0.021909
0.567405,0.025783,0.023877,0.257600,0.207874,0.077572,0.244064
0.582489,0.027354,0.024828,0.258511,0.257203,0.077278,0.176861
0.590121,0.029484,0.028015,0.088496,0.252669,0.023376,0.028407
0.566542,0.027963,0.024985,0.257585,0.204093,0.077296,0.055324
0.599085,0.030606,0.024519,0.258517,0.256754,0.077270,0.060957
0.569407,0.028284,0.024983,0.257454,0.214045,0.077356,0.047563
0.589680,0.032345,0.025434,0.258501,0.259821,0.077352,0.097689
