0.705774,0.001830,0.053067,0.000275,0.017063,0.008070,0.022788
0.708442,0.001397,0.077576,0.000270,0.090341,0.012697,0.153079
0.706360,0.013224,0.150163,0.000274,0.077006,0.014847,0.095166
0.702712,0.002873,0.077920,0.000272,0.094465,0.025324,0.116734
0.717036,0.003045,0.080452,0.000265,0.112556,0.007748,0.149260
0.674448,0.003015,0.078523,0.000265,0.079162,0.002702,0.025123
0.744240,0.001611,0.064662,0.000269,0.124555,0.013996,0.023752
0.678053,0.001979,0.066243,0.000278,0.102872,0.025892,0.025605
0.691760,0.001316,0.084319,0.000277,0.083299,0.007831,0.029458
0.696574,0.001713,0.061561,0.000280,0.124138,0.021704,0.025043
