0.716411,0.020551,0.000258,0.710623,0.143636,1.559354,1.621662,0.027788
0.702380,0.021424,0.000278,0.591868,0.148187,1.544851,1.607335,0.032569
0.720284,0.018596,0.000268,0.643015,0.150695,1.541266,1.610320,0.023973
0.744058,0.019072,0.000268,0.516209,0.144970,1.541128,1.609669,0.023291
0.733155,0.019621,0.000266,0.590500,0.134541,1.541303,1.611809,0.022841
0.765422,0.019337,0.000270,0.610164,0.133206,1.540490,1.611909,0.023309
0.737648,0.021531,0.000273,0.645084,0.134457,1.545593,1.606676,0.023508
0.745017,0.019338,0.000273,0.816438,0.133550,1.544127,1.615203,0.024334
0.736284,0.019062,0.000273,0.860609,0.134931,1.539157,1.607785,0.023329
0.733399,0.019275,0.000279,0.966067,0.134455,1.542413,1.605321,1.347090
0.749692,0.026853,0.000268,0.982846,0.136243,1.542610,1.610560,1.311484
0.726064,0.021500,0.000308,0.728940,0.176317,1.602249,1.608646,0.746363
0.711402,0.018197,0.000384,0.578082,0.135921,1.540518,1.621281,0.949752
0.701764,0.019439,0.000261,0.810892,0.180702,1.600440,1.609970,0.744567
0.701895,0.020634,0.000268,0.611923,0.133346,1.542649,1.619789,0.942426
0.715741,0.035575,0.000276,0.631461,0.133016,1.541027,1.617751,0.905071
0.729855,0.024031,0.000299,0.858491,0.157587,1.594609,1.642233,0.660940
0.707422,0.018579,0.000270,0.885273,0.135796,1.538714,1.617320,0.699745
0.726676,0.023418,0.000270,1.243321,0.152436,1.588420,1.623188,0.315561
0.879306,0.031411,0.000356,0.718867,0.179560,1.986422,2.076306,0.060053
